binary,n_clusters,n_points,total_time,total_kernel_exec_time,total_kernel_launch_time,avg_kernel_exec_time,avg_kernel_launch_time,iterations,memcpy_host_to_device_time,memcpy_device_to_host_time,cost
01_pam,3,100,17914.0429,17025.192600000002,335.12669999999997,4256.29817,83.78169,4.0,2.1406,2.1406,60.16516393216045
01_pam,3,1000,229227.67969999998,227847.1377,389.4649,56961.78444,97.36625000000001,4.0,3.6546,3.6546,585.3629021153926
01_pam,3,10000,5928677.9904,5924440.095000001,494.57210000000003,1184888.0189999999,98.91441999999999,5.0,17.4334,17.4334,6192.786444472729
01_pam,5,100,48231.1968,47161.5354,369.3782,7860.255899999999,61.56304,6.0,2.8037,2.8037,59.69738935423608
01_pam,5,1000,475326.66449999996,473434.1909,436.40780000000007,78905.69846999999,72.73463000000001,6.0,4.3705,4.3705,584.7469949809189
01_pam,5,10000,14777642.8814,14770729.614300001,504.9683,2461788.26906,84.1614,6.0,17.606299999999997,17.606299999999997,6177.662022734867
01_pam,10,100,156583.0108,155130.5704,419.6698,15513.05704,41.96698,10.0,4.2492,4.2492,57.3016479620578
01_pam,10,1000,1731524.4390999998,1727522.6879,662.761,157047.51708,60.251009999999994,11.0,6.1408000000000005,6.1408000000000005,581.9481667509024
01_pam,10,10000,127753267.10880001,127728525.3453,960.4956,9825271.180410001,73.88427,13.0,20.2882,20.2882,6167.836995295662
02_pam_no_sqrt,3,100,17116.6166,16266.6528,315.5609,4066.6632299999997,78.89025000000001,4.0,2.0898,2.0898,60.177206216057655
02_pam_no_sqrt,3,1000,219272.5418,217963.59780000002,355.8582,54490.899470000004,88.96459,4.0,3.5965000000000003,3.5965000000000003,585.5804339422025
02_pam_no_sqrt,3,10000,5674715.0223,5670569.6136,453.8158,1134113.92272,90.76316,5.0,18.9083,18.9083,6193.239210339314
02_pam_no_sqrt,5,100,46072.776,45037.1729,334.1239,7506.19548,55.68732,6.0,2.8131999999999997,2.8131999999999997,59.81397202371579
02_pam_no_sqrt,5,1000,455105.1016,453254.7777,424.754,75542.46295,70.79232,6.0,4.42,4.42,585.0679620488008
02_pam_no_sqrt,5,10000,14143905.438800002,14137161.429499999,496.67969999999997,2356193.57159,82.77994,6.0,17.6376,17.6376,6178.095427864588
02_pam_no_sqrt,10,100,164673.5134,163158.7685,419.8194,14832.61531,38.1654,11.0,4.6240000000000006,4.6240000000000006,57.99987278507906
02_pam_no_sqrt,10,1000,1657357.8966,1653589.174,591.7045,150326.28856000002,53.791340000000005,11.0,6.2331,6.2331,582.4921826727032
02_pam_no_sqrt,10,10000,131675093.66199999,131648887.41889998,979.3547000000001,9403491.95848,69.95391,14.0,20.5891,20.5891,6168.396292655563
03_pam_2d,3,100,16964.9828,16180.335200000001,267.5741,4045.08382,66.89354,4.0,2.1184000000000003,2.1184000000000003,60.177206216057655
03_pam_2d,3,1000,218005.6854,216735.60470000003,312.0989,54183.901190000004,78.02474,4.0,3.6420000000000003,3.6420000000000003,585.5804339422025
03_pam_2d,3,10000,5640641.5283,5636631.7705,382.3541,1127326.3540999999,76.47082,5.0,17.226,17.226,6193.239210339314
03_pam_2d,5,100,45716.199,44776.1147,281.51,7462.68579,46.91834,6.0,2.8163,2.8163,59.81397202371579
03_pam_2d,5,1000,452184.81739999994,450454.0486,365.385,75075.67476,60.89751,6.0,4.7547,4.7547,585.0679620488008
03_pam_2d,5,10000,14061258.3206,14054593.6816,431.2994,2342432.28027,71.88323,6.0,17.5516,17.5516,6178.095427864588
03_pam_2d,10,100,163632.708,162218.08789999998,361.7284,14747.09891,32.8844,11.0,4.5954999999999995,4.5954999999999995,57.99987278507906
03_pam_2d,10,1000,1647601.1444,1643858.7624,550.6734,149441.70569,50.06121,11.0,6.0926,6.0926,582.4921826727032
