6
Stride: 768
nSharedFloats: 40 (= cWarpsPerBlock * 10)
Index: 299, (offset: 0, tid: 299, logStep: 0)
Index: 300, (offset: 0, tid: 300, logStep: 0)
Index: 301, (offset: 0, tid: 301, logStep: 0)
Index: 302, (offset: 0, tid: 302, logStep: 0)
Index: 303, (offset: 0, tid: 303, logStep: 0)
Index: 304, (offset: 0, tid: 304, logStep: 0)
Index: 305, (offset: 0, tid: 305, logStep: 0)
Index: 306, (offset: 0, tid: 306, logStep: 0)
Index: 307, (offset: 0, tid: 307, logStep: 0)
Index: 308, (offset: 0, tid: 308, logStep: 0)
Index: 309, (offset: 0, tid: 309, logStep: 0)
Index: 310, (offset: 0, tid: 310, logStep: 0)
Index: 311, (offset: 0, tid: 311, logStep: 0)
Index: 312, (offset: 0, tid: 312, logStep: 0)
Index: 313, (offset: 0, tid: 313, logStep: 0)
Index: 314, (offset: 0, tid: 314, logStep: 0)
Index: 315, (offset: 0, tid: 315, logStep: 0)
Index: 316, (offset: 0, tid: 316, logStep: 0)
Index: 317, (offset: 0, tid: 317, logStep: 0)
Index: 318, (offset: 0, tid: 318, logStep: 0)
Index: 319, (offset: 0, tid: 319, logStep: 0)
Index: 0, (offset: 0, tid: 0, logStep: 0)
Index: 1, (offset: 0, tid: 1, logStep: 0)
Index: 2, (offset: 0, tid: 2, logStep: 0)
Index: 3, (offset: 0, tid: 3, logStep: 0)
Index: 4, (offset: 0, tid: 4, logStep: 0)
Index: 5, (offset: 0, tid: 5, logStep: 0)
Index: 6, (offset: 0, tid: 6, logStep: 0)
Index: 7, (offset: 0, tid: 7, logStep: 0)
Index: 8, (offset: 0, tid: 8, logStep: 0)
Index: 9, (offset: 0, tid: 9, logStep: 0)
Index: 10, (offset: 0, tid: 10, logStep: 0)
Index: 11, (offset: 0, tid: 11, logStep: 0)
Index: 12, (offset: 0, tid: 12, logStep: 0)
Index: 13, (offset: 0, tid: 13, logStep: 0)
Index: 14, (offset: 0, tid: 14, logStep: 0)
Index: 15, (offset: 0, tid: 15, logStep: 0)
Index: 16, (offset: 0, tid: 16, logStep: 0)
Index: 17, (offset: 0, tid: 17, logStep: 0)
Index: 18, (offset: 0, tid: 18, logStep: 0)
Index: 19, (offset: 0, tid: 19, logStep: 0)
Index: 20, (offset: 0, tid: 20, logStep: 0)
Index: 21, (offset: 0, tid: 21, logStep: 0)
Index: 22, (offset: 0, tid: 22, logStep: 0)
Index: 23, (offset: 0, tid: 23, logStep: 0)
Index: 24, (offset: 0, tid: 24, logStep: 0)
Index: 25, (offset: 0, tid: 25, logStep: 0)
Index: 26, (offset: 0, tid: 26, logStep: 0)
Index: 27, (offset: 0, tid: 27, logStep: 0)
Index: 28, (offset: 0, tid: 28, logStep: 0)
